City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Nuevo Progreso,MX,78.55,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
346,Zhuhai,CN,87.51,clear sky,22.2769,113.5678,珠海粤财假日酒店
347,Tumarbong,PH,86.22,overcast clouds,10.3766,119.4579,Rufino’s Place
349,Port Blair,IN,84.51,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Eyl,SO,80.55,overcast clouds,7.9803,49.8164,Amiin Hotel
351,Gazanjyk,TM,75.72,clear sky,39.2446,55.5154,Railway motel
354,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
356,Kuching,MY,75.42,light rain,1.55,110.3333,Hilton Kuching
362,Nabire,ID,85.78,broken clouds,-3.3667,135.4833,Hotel Nusantara I
365,Sompeta,IN,80.6,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
368,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
370,Jalu,LY,76.15,clear sky,29.0331,21.5482,صاحبة الفخامة
373,Ternate,ID,86.52,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
374,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
375,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
379,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
381,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
394,Severiano Melo,BR,76.05,scattered clouds,-5.7772,-37.9578,Chácara Bela Vista
395,Ahuimanu,US,85.75,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
398,Byron Bay,AU,79.95,clear sky,-28.65,153.6167,Backpackers Inn
403,Buhangin,PH,83.55,overcast clouds,6.4911,125.5475,Maldives tubalan malita davao occidental
413,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
414,Bundaberg,AU,82.22,few clouds,-24.85,152.35,Takalvan Motel
415,Gunjur,GM,77.07,thunderstorm,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
416,Hope,US,82.45,scattered clouds,33.6671,-93.5916,Best Western Hope
420,Shamgarh,IN,81.46,clear sky,24.1833,75.6333,janhvi namkeen bhandar
424,Virginia Beach,US,75.02,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
429,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
433,Shimonoseki,JP,82.44,broken clouds,33.95,130.95,Toyoko INN Shimonoseki Kaikyo Yume Tower mae
440,Puerto Escondido,MX,78.17,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
443,Tallahassee,US,78.33,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
444,Muli,MV,81.79,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
446,Wajir,KE,75.16,broken clouds,1.7471,40.0573,Mahatallah Hotel
447,Fortuna Foothills,US,89.08,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
454,Sao Miguel Do Araguaia,BR,77.52,few clouds,-13.275,-50.1628,Hotel Executivo Palace
455,Sri Aman,MY,78.85,light rain,1.2376,111.4621,Seri Simanggang Hotel
456,Awjilah,LY,76.62,clear sky,29.1081,21.2869,المنزل
459,Arys,KZ,76.41,clear sky,42.4252,68.795,Gostinitsa
461,Bengkulu,ID,81.86,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
464,Kapoeta,SS,75.15,broken clouds,4.7717,33.5903,Eastgate Hotel
469,Manokwari,ID,82.72,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
471,Puerto El Triunfo,SV,79.72,overcast clouds,13.2833,-88.55,Hotel Jardin
473,Samarai,PG,81.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
475,Gulfport,US,78.85,clear sky,30.3674,-89.0928,Courtyard by Marriott Gulfport Beachfront
478,Kavaratti,IN,80.87,overcast clouds,10.5669,72.642,Green leaf
486,Fort Carson,US,75.15,clear sky,38.7375,-104.7889,Cheyenne Mountain Estates
496,Ciudad Bolivar,VE,80.71,overcast clouds,8.1222,-63.5497,Hotel Edi
504,Kimbe,PG,81.93,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
505,Phan Thiet,VN,86.31,overcast clouds,10.9333,108.1,Hotel Saigon-PT
508,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
510,Jaru,BR,78.33,light rain,-10.4389,-62.4664,Hotel Paraná
512,Westport,US,75.9,clear sky,41.1415,-73.3579,The Westport Inn
514,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
515,Asahikawa,JP,76.21,broken clouds,43.7678,142.3703,Hoshino Resorts OMO7 Asahikawa
517,New Smyrna Beach,US,79.03,few clouds,29.0258,-80.927,Hampton Inn New Smyrna Beach
523,Celestun,MX,80.8,clear sky,20.8667,-90.4,Posada Lilia
524,Salinopolis,BR,78.3,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
530,High Rock,BS,78.82,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
531,Bagotville,AU,79.86,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
533,Kinablangan,PH,86.18,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
534,Arlit,NE,88.72,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
535,Liberty,US,75.97,clear sky,31.8335,-81.5004,Sasser’s Mobile Home Park
536,Vega De Alatorre,MX,78.62,overcast clouds,20.0333,-96.6333,Hotel D Luxe
542,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
543,Catalina,US,88.66,few clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
544,Pasighat,IN,88.29,broken clouds,28.0667,95.3333,Siang Guest House
555,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
557,Panaba,MX,75.72,clear sky,21.2833,-88.2667,Hotel Don Fernando
558,Kalmunai,LK,85.73,light rain,7.4167,81.8167,VS Villa
561,Xinxiang,CN,84.56,broken clouds,35.3089,113.8672,Guoyu Holiday Inn
562,Santa Rosa,PH,81.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
564,Singkang,MY,87.67,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
569,Surat,IN,82.38,broken clouds,21.1667,72.8333,HOTEL VETROINN SPICE
572,Odweyne,SO,76.26,broken clouds,9.4092,45.064,Eng Hiirey House
576,Campoverde,PE,80.29,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
582,Tateyama,JP,84.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
587,Borba,BR,78.33,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
591,Placido De Castro,BR,79.61,clear sky,-10.3353,-67.1856,Hotel Carioca
597,Maunabo,PR,78.64,heavy intensity rain,18.0072,-65.8993,Parador Maunacaribe
600,Limon,CR,76.05,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
602,Ballina,AU,81.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
604,Trinidad,BO,81.14,scattered clouds,-14.8333,-64.9,Hotel Piesta
606,Tevaitoa,PF,78.01,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
609,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
614,Lincoln,US,75.25,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
615,Cockburn Town,TC,82.65,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
617,Bilma,NE,87.04,few clouds,18.6853,12.9164,Expeditions Ténére voyages
620,Srandakan,ID,82.4,overcast clouds,-7.9386,110.2506,Puri Brata
622,Campo Gobierno,MX,83.71,broken clouds,24.6536,-107.5411,Casa de la Abuela
636,Sinnamary,GF,78.98,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
641,Mackay,AU,88.68,few clouds,-21.15,149.2,International Lodge Motel
644,Mutis,CO,75.18,moderate rain,6.2262,-77.4044,Paraiso Escondido
645,Banepa,NP,75.52,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
652,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
655,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
656,Kailua,US,86.02,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
659,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
662,Maizuru,JP,78.84,light rain,35.45,135.3333,Maizuru Grand Hotel
666,Japura,ID,77.18,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
667,Lethem,GY,78.39,broken clouds,3.3803,-59.7968,Savannah Inn
670,Savannakhet,LA,84.22,broken clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
671,Uribia,CO,81.36,scattered clouds,11.7139,-72.266,Hotel Uribia
672,Ardakan,IR,79.79,clear sky,32.31,54.0175,Ardakan Hotel
673,Qeshm,IR,87.67,scattered clouds,26.9581,56.2719,Qeshm Kavan Hotel
674,Fort Smith,US,84.24,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
675,Amahai,ID,83.17,moderate rain,-3.3333,128.9167,HOTEL ISABELA
681,Weligama,LK,82.81,overcast clouds,5.9667,80.4167,Weligama Bay Resort
687,Auki,SB,78.73,overcast clouds,-8.7676,160.7034,Auki Motel
