City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Miyako,JP,39.6367,141.9525,81.14,80,100,17.65,moderate rain
201,Fairbanks,US,64.8378,-147.7164,55.09,60,20,3.44,few clouds
202,Porto Santo,PT,33.072,-16.3415,70.18,88,75,10.36,broken clouds
203,Banjar,ID,-8.19,114.9675,89.76,51,4,3.38,clear sky
204,Pathein,MM,16.7833,94.7333,81.12,84,100,5.55,overcast clouds
205,Shama,CN,33.6102,104.2852,61.61,93,100,3.09,overcast clouds
206,Jaque,PA,7.5175,-78.1703,76.87,88,98,8.21,light rain
207,Tiksi,RU,71.6872,128.8694,37.06,56,76,4.52,broken clouds
208,Sabang,ID,5.8933,95.3214,82.53,73,95,18.81,overcast clouds
209,Goderich,CA,43.7501,-81.7165,73.9,78,59,9.22,broken clouds
210,Komsomolskiy,UZ,40.4272,71.7189,75.92,31,0,4.61,clear sky
211,Eureka,US,40.8021,-124.1637,61.2,88,98,1.01,overcast clouds
212,Coihaique,CL,-45.5752,-72.0662,35.55,100,100,2.3,light rain
213,Novoagansk,RU,61.9449,76.6625,50.83,81,37,18.88,scattered clouds
214,Peniche,PT,39.3558,-9.3811,70.09,87,96,2.24,overcast clouds
215,East London,ZA,-33.0153,27.9116,56.34,94,20,11.5,light rain
216,Santiago De Cao,PE,-7.9589,-79.2392,59.13,88,100,10.36,mist
217,Chara,RU,56.9064,118.2631,39.42,41,32,7.07,scattered clouds
218,Marawi,PH,7.9986,124.2928,83.07,54,77,2.73,broken clouds
219,Pag,HR,44.445,15.0575,50.58,67,50,13.87,scattered clouds
220,Touho,NC,-20.7833,165.2333,75.99,71,6,14.5,clear sky
221,Cidreira,BR,-30.1811,-50.2056,62.15,78,100,20.4,overcast clouds
222,New Glasgow,CA,45.5834,-62.6486,55.18,68,100,0.81,overcast clouds
223,Bozoum,CF,6.3193,16.3799,66.85,98,94,1.43,moderate rain
224,Pemba,MZ,-12.974,40.5178,72.3,94,20,5.75,few clouds
225,Okhotsk,RU,59.3833,143.3,43.5,90,100,33.96,moderate rain
226,Cottbus,DE,51.7667,14.3333,46.96,95,98,1.99,overcast clouds
227,Airai,TL,-8.9266,125.4092,80.91,34,87,2.42,overcast clouds
228,Rena,NO,61.1348,11.3641,46.11,69,90,10.78,overcast clouds
229,Siderno,IT,38.2779,16.302,68.34,78,10,2.64,clear sky
230,Hami,CN,42.8,93.45,78.69,11,18,5.35,few clouds
231,Anadyr,RU,64.75,177.4833,43.3,86,75,8.95,light rain
232,Guerrero Negro,MX,27.9769,-114.0611,68.99,79,0,16.08,clear sky
233,Leningradskiy,RU,69.3833,178.4167,33.4,97,100,21.61,light snow
234,Kolokani,ML,13.5728,-8.0339,70.12,91,86,5.23,light rain
235,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,62,0,15.66,clear sky
236,Izvor,MK,42.2039,21.5783,32.43,66,0,2.73,clear sky
237,Douglas,US,41.3,-96.167,74.52,80,0,8.05,clear sky
238,Cartagena,CO,10.3997,-75.5144,76.62,94,75,2.3,light intensity drizzle
239,Touros,BR,-5.1989,-35.4608,76.15,80,13,14.67,few clouds
240,Piet Retief,ZA,-27.0071,30.8132,54.68,44,0,2.48,clear sky
241,Morehead,US,37.2711,-87.1764,72.0,90,0,0.0,clear sky
242,Saint-Pierre,RE,-21.3393,55.4781,75.56,68,0,12.66,clear sky
243,Kupang,ID,-10.1667,123.5833,87.1,54,89,5.01,overcast clouds
244,Oktyabrskoye,RU,43.0645,44.7417,55.54,88,0,6.71,clear sky
245,Bilibino,RU,68.0546,166.4372,33.73,66,99,2.64,overcast clouds
246,Kamina,CD,-8.7386,24.9906,63.37,93,100,3.06,overcast clouds
247,Don Sak,TH,9.3168,99.6918,86.14,67,100,12.3,overcast clouds
248,Baghdad,IQ,33.3406,44.4009,71.51,43,0,3.44,clear sky
249,Aguada De Pasajeros,CU,22.385,-80.8508,75.45,92,34,5.28,scattered clouds
250,Namibe,AO,-15.1961,12.1522,61.39,82,95,4.85,overcast clouds
251,Sistranda,NO,63.7256,8.834,48.16,78,90,19.77,overcast clouds
252,Codrington,AU,-38.2667,141.9667,56.53,74,66,11.36,broken clouds
253,Bubaque,GW,11.2833,-15.8333,79.74,81,100,13.11,moderate rain
254,Sangmelima,CM,2.9333,11.9833,67.03,99,100,1.7,light rain
255,Bahia Honda,CU,22.9036,-83.1592,78.82,82,75,5.26,broken clouds
256,Broken Hill,AU,-31.95,141.4333,67.08,34,2,8.59,clear sky
257,Oranjemund,NA,-28.55,16.4333,51.69,86,13,10.13,few clouds
258,Aykhal,RU,66.0,111.5,32.32,97,100,7.18,light snow
259,Alvaraes,BR,-3.2208,-64.8042,73.6,94,91,2.68,very heavy rain
260,Kholmogory,RU,64.2229,41.656,44.42,98,90,4.12,overcast clouds
261,Makakilo City,US,21.3469,-158.0858,84.56,61,40,14.97,scattered clouds
262,Khuzdar,PK,27.7384,66.6434,76.73,56,0,3.76,clear sky
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,64,38,11.72,scattered clouds
264,Ilo,PE,-17.6394,-71.3375,58.69,83,47,7.67,scattered clouds
265,Obo,CF,5.3998,26.4869,66.22,97,56,0.49,broken clouds
266,Quatre Cocos,MU,-20.2078,57.7625,73.09,73,18,16.08,light rain
267,Sechura,PE,-5.5569,-80.8222,64.33,87,3,10.89,clear sky
268,Northam,GB,51.0333,-4.2167,50.88,83,0,2.04,clear sky
269,Melendugno,IT,40.2747,18.3368,50.09,93,0,2.3,clear sky
270,George,ZA,-33.963,22.4617,49.55,93,100,8.05,light rain
271,Gizo,SB,-8.103,156.8419,83.75,74,98,11.05,light rain
272,Olafsvik,IS,64.8945,-23.7142,49.64,93,100,14.83,overcast clouds
273,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,89,100,5.75,light snow
274,Nantucket,US,41.2835,-70.0995,72.0,88,0,14.97,clear sky
275,Taveta,KE,-3.3963,37.6736,66.97,77,47,3.78,scattered clouds
276,Barreirinha,BR,-2.7933,-57.07,77.81,55,90,2.82,overcast clouds
277,Qaqortoq,GL,60.7167,-46.0333,46.87,71,93,4.97,overcast clouds
278,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,92,92,4.63,overcast clouds
279,Mangrol,IN,21.1167,70.1167,83.34,67,8,6.71,clear sky
280,Poronaysk,RU,49.2167,143.1167,63.99,83,75,13.13,broken clouds
281,Merauke,ID,-8.4667,140.3333,85.08,71,95,13.89,overcast clouds
282,Piranhas,BR,-16.4269,-51.8222,81.97,41,72,4.29,broken clouds
283,Porbandar,IN,21.6422,69.6093,82.38,83,40,5.75,scattered clouds
284,Bose,IT,45.4612,8.0137,54.21,65,0,4.63,clear sky
285,Kuopio,FI,62.8924,27.677,46.35,100,75,3.44,broken clouds
286,Rochegda,RU,62.8,43.25,45.48,96,100,4.25,light rain
287,Beloha,MG,-25.1667,45.05,71.82,57,0,5.95,clear sky
288,Faanui,PF,-16.4833,-151.75,78.73,73,7,17.72,clear sky
289,Pangkalanbuun,ID,-2.6833,111.6167,88.05,59,99,4.61,overcast clouds
290,Kodiak,US,57.79,-152.4072,60.31,72,100,10.36,overcast clouds
291,Acapulco,MX,16.8634,-99.8901,80.42,78,100,9.22,overcast clouds
292,Gunnedah,AU,-30.9833,150.25,68.5,38,100,12.19,overcast clouds
293,Ostrovnoy,RU,68.0531,39.5131,47.7,98,100,7.29,light rain
294,Mao,ES,39.8885,4.2658,63.16,82,0,6.91,clear sky
295,Avera,US,33.194,-82.5271,71.11,76,3,7.18,clear sky
296,Estacion Coahuila,MX,32.1939,-115.0017,86.22,40,0,9.93,clear sky
297,Itupiranga,BR,-5.1347,-49.3267,75.52,72,10,4.29,clear sky
298,Hobyo,SO,5.3505,48.5268,77.59,83,92,20.56,overcast clouds
299,Lae,PG,-6.7221,146.9847,84.87,92,96,6.46,overcast clouds
300,Mount Isa,AU,-20.7333,139.5,94.77,17,1,10.36,clear sky
301,Genhe,CN,50.7833,121.5167,41.61,30,3,13.69,clear sky
302,Sur,OM,22.5667,59.5289,84.13,66,1,6.73,clear sky
303,Pacific Grove,US,36.6177,-121.9166,64.42,86,60,7.0,moderate rain
304,Digby,CA,44.6169,-65.7655,52.75,90,100,4.72,light rain
305,Rocha,UY,-34.4833,-54.3333,57.31,81,100,12.24,overcast clouds
