City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Thompson,CA,2022-09-18 22:21:23,55.7435,-97.8558,55.56,94,100,4.61
108,Geraldton,AU,2022-09-18 22:21:23,-28.7667,114.6,57.61,77,75,18.41
109,Sant Julia De Loria,AD,2022-09-18 22:21:24,42.4625,1.4825,58.1,72,82,3.56
110,Tlaltenango,MX,2022-09-18 22:21:24,19.1667,-98.3333,61.3,88,100,16.11
111,Barrow,US,2022-09-18 22:21:00,71.2906,-156.7887,39.22,87,75,14.97
112,Korla,CN,2022-09-18 22:21:25,41.7597,86.1469,68.4,23,27,8.05
113,Mahon,ES,2022-09-18 22:21:25,39.8885,4.2658,63.16,67,20,3.44
114,Tromso,NO,2022-09-18 22:21:26,69.6496,18.957,44.62,81,75,8.05
115,Dwarka,IN,2022-09-18 22:21:26,22.2394,68.9678,81.32,72,61,10.51
116,La Plata,AR,2022-09-18 22:21:27,-34.9215,-57.9545,68.04,70,100,11.54
117,Nianzishan,CN,2022-09-18 22:21:27,47.5167,122.8833,41.81,49,2,7.78
118,College,US,2022-09-18 22:21:27,64.8569,-147.8028,56.59,51,40,11.5
119,Bac Lieu,VN,2022-09-18 22:19:06,9.285,105.7244,77.97,87,100,8.99
120,Hithadhoo,MV,2022-09-18 22:21:28,-0.6,73.0833,81.48,74,98,8.61
121,Bengkulu,ID,2022-09-18 22:21:28,-3.8004,102.2655,74.43,89,100,2.62
122,Havre-Saint-Pierre,CA,2022-09-18 22:21:29,50.2334,-63.5986,50.0,58,99,16.15
123,Zharkent,KZ,2022-09-18 22:21:29,44.1628,80.0,62.26,33,50,4.07
124,Ambilobe,MG,2022-09-18 22:21:30,-13.2,49.05,67.17,75,0,5.17
125,Birobidzhan,RU,2022-09-18 22:21:30,48.8,132.95,45.16,78,95,15.64
126,Bredasdorp,ZA,2022-09-18 22:21:31,-34.5322,20.0403,49.26,86,51,1.83
127,Yellowknife,CA,2022-09-18 22:20:40,62.456,-114.3525,52.32,76,75,8.01
128,Bandarbeyla,SO,2022-09-18 22:21:32,9.4942,50.8122,76.46,86,10,19.98
129,Buchanan,LR,2022-09-18 22:21:32,5.8808,-10.0467,75.61,85,73,7.0
130,Castres,FR,2022-09-18 22:21:33,43.5833,2.1667,56.41,47,0,5.75
131,Dumaguil,PH,2022-09-18 22:21:33,6.62,124.6533,74.59,94,99,0.36
132,Kodiak,US,2022-09-18 22:18:29,57.79,-152.4072,60.31,67,0,10.36
133,Arequipa,PE,2022-09-18 22:21:34,-16.3989,-71.535,64.47,23,0,9.22
